anio,mes,mes_num,estado,tipo_delito,subtipo_delito,modalidad,cantidad,fecha,periodo
2023,Noviembre,11,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,5,2023-11,Noviembre 2023
2023,Diciembre,12,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,27,2023-12,Diciembre 2023
2024,Enero,1,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,13,2024-01,Enero 2024
2024,Febrero,2,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,14,2024-02,Febrero 2024
2024,Marzo,3,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,17,2024-03,Marzo 2024
2024,Abril,4,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,11,2024-04,Abril 2024
2024,Mayo,5,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,8,2024-05,Mayo 2024
2024,Junio,6,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,8,2024-06,Junio 2024
2024,Julio,7,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,11,2024-07,Julio 2024
2024,Agosto,8,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,6,2024-08,Agosto 2024
2024,Septiembre,9,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,29,2024-09,Septiembre 2024
2024,Octubre,10,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,16,2024-10,Octubre 2024
2024,Noviembre,11,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,24,2024-11,Noviembre 2024
2024,Diciembre,12,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Sin violencia,15,2024-12,Diciembre 2024
2023,Enero,1,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,27,2023-01,Enero 2023
2023,Febrero,2,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,29,2023-02,Febrero 2023
2023,Marzo,3,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,29,2023-03,Marzo 2023
2023,Abril,4,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,29,2023-04,Abril 2023
2023,Mayo,5,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,17,2023-05,Mayo 2023
2023,Junio,6,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,11,2023-06,Junio 2023
2023,Julio,7,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,9,2023-07,Julio 2023
2023,Agosto,8,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,14,2023-08,Agosto 2023
2023,Septiembre,9,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,26,2023-09,Septiembre 2023
2023,Octubre,10,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,28,2023-10,Octubre 2023
2023,Noviembre,11,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,21,2023-11,Noviembre 2023
2023,Diciembre,12,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,16,2023-12,Diciembre 2023
2024,Enero,1,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,6,2024-01,Enero 2024
2024,Febrero,2,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,21,2024-02,Febrero 2024
2024,Marzo,3,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,21,2024-03,Marzo 2024
2024,Abril,4,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,21,2024-04,Abril 2024
2024,Mayo,5,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,6,2024-05,Mayo 2024
2024,Junio,6,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,27,2024-06,Junio 2024
2024,Julio,7,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,23,2024-07,Julio 2024
2024,Agosto,8,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,6,2024-08,Agosto 2024
2024,Septiembre,9,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,16,2024-09,Septiembre 2024
2024,Octubre,10,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,27,2024-10,Octubre 2024
2024,Noviembre,11,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,21,2024-11,Noviembre 2024
2024,Diciembre,12,Baja California,Homicidio doloso,Homicidio doloso con arma de fuego,Con violencia,28,2024-12,Diciembre 2024
2023,Enero,1,Baja California,Secuestro,Secuestro,No especificado,6,2023-01,Enero 2023
2023,Febrero,2,Baja California,Secuestro,Secuestro,No especificado,7,2023-02,Febrero 2023
2023,Marzo,3,Baja California,Secuestro,Secuestro,No especificado,1,2023-03,Marzo 2023
2023,Abril,4,Baja California,Secuestro,Secuestro,No especificado,3,2023-04,Abril 2023
2023,Mayo,5,Baja California,Secuestro,Secuestro,No especificado,5,2023-05,Mayo 2023
2023,Junio,6,Baja California,Secuestro,Secuestro,No especificado,4,2023-06,Junio 2023
2023,Julio,7,Baja California,Secuestro,Secuestro,No especificado,3,2023-07,Julio 2023
2023,Agosto,8,Baja California,Secuestro,Secuestro,No especificado,7,2023-08,Agosto 2023
2023,Septiembre,9,Baja California,Secuestro,Secuestro,No especificado,1,2023-09,Septiembre 2023
2023,Octubre,10,Baja California,Secuestro,Secuestro,No especificado,7,2023-10,Octubre 2023
2023,Noviembre,11,Baja California,Secuestro,Secuestro,No especificado,1,2023-11,Noviembre 2023
2023,Diciembre,12,Baja California,Secuestro,Secuestro,No especificado,4,2023-12,Diciembre 2023
2024,Enero,1,Baja California,Secuestro,Secuestro,No especificado,3,2024-01,Enero 2024
2024,Febrero,2,Baja California,Secuestro,Secuestro,No especificado,4,2024-02,Febrero 2024
2024,Marzo,3,Baja California,Secuestro,Secuestro,No especificado,1,2024-03,Marzo 2024
2024,Abril,4,Baja California,Secuestro,Secuestro,No especificado,1,2024-04,Abril 2024
2024,Mayo,5,Baja California,Secuestro,Secuestro,No especificado,1,2024-05,Mayo 2024
2024,Junio,6,Baja California,Secuestro,Secuestro,No especificado,6,2024-06,Junio 2024
2024,Julio,7,Baja California,Secuestro,Secuestro,No especificado,5,2024-07,Julio 2024
2024,Agosto,8,Baja California,Secuestro,Secuestro,No especificado,3,2024-08,Agosto 2024
2024,Septiembre,9,Baja California,Secuestro,Secuestro,No especificado,1,2024-09,Septiembre 2024
2024,Octubre,10,Baja California,Secuestro,Secuestro,No especificado,3,2024-10,Octubre 2024
2024,Noviembre,11,Baja California,Secuestro,Secuestro,No especificado,3,2024-11,Noviembre 2024
2024,Diciembre,12,Baja California,Secuestro,Secuestro,No especificado,1,2024-12,Diciembre 2024
2023,Enero,1,Baja California,Secuestro,Secuestro,Sin violencia,3,2023-01,Enero 2023
2023,Febrero,2,Baja California,Secuestro,Secuestro,Sin violencia,4,2023-02,Febrero 2023
2023,Marzo,3,Baja California,Secuestro,Secuestro,Sin violencia,4,2023-03,Marzo 2023
2023,Abril,4,Baja California,Secuestro,Secuestro,Sin violencia,6,2023-04,Abril 2023
2023,Mayo,5,Baja California,Secuestro,Secuestro,Sin violencia,1,2023-05,Mayo 2023
2023,Junio,6,Baja California,Secuestro,Secuestro,Sin violencia,2,2023-06,Junio 2023
2023,Julio,7,Baja California,Secuestro,Secuestro,Sin violencia,6,2023-07,Julio 2023
2023,Agosto,8,Baja California,Secuestro,Secuestro,Sin violencia,2,2023-08,Agosto 2023
2023,Septiembre,9,Baja California,Secuestro,Secuestro,Sin violencia,3,2023-09,Septiembre 2023
2023,Octubre,10,Baja California,Secuestro,Secuestro,Sin violencia,1,2023-10,Octubre 2023
2023,Noviembre,11,Baja California,Secuestro,Secuestro,Sin violencia,4,2023-11,Noviembre 2023
2023,Diciembre,12,Baja California,Secuestro,Secuestro,Sin violencia,7,2023-12,Diciembre 2023
2024,Enero,1,Baja California,Secuestro,Secuestro,Sin violencia,1,2024-01,Enero 2024
2024,Febrero,2,Baja California,Secuestro,Secuestro,Sin violencia,6,2024-02,Febrero 2024
2024,Marzo,3,Baja California,Secuestro,Secuestro,Sin violencia,6,2024-03,Marzo 2024
2024,Abril,4,Baja California,Secuestro,Secuestro,Sin violencia,6,2024-04,Abril 2024
2024,Mayo,5,Baja California,Secuestro,Secuestro,Sin violencia,3,2024-05,Mayo 2024
2024,Junio,6,Baja California,Secuestro,Secuestro,Sin violencia,3,2024-06,Junio 2024
2024,Julio,7,Baja California,Secuestro,Secuestro,Sin violencia,2,2024-07,Julio 2024
2024,Agosto,8,Baja California,Secuestro,Secuestro,Sin violencia,6,2024-08,Agosto 2024
2024,Septiembre,9,Baja California,Secuestro,Secuestro,Sin violencia,4,2024-09,Septiembre 2024
2024,Octubre,10,Baja California,Secuestro,Secuestro,Sin violencia,1,2024-10,Octubre 2024
2024,Noviembre,11,Baja California,Secuestro,Secuestro,Sin violencia,3,2024-11,Noviembre 2024
2024,Diciembre,12,Baja California,Secuestro,Secuestro,Sin violencia,3,2024-12,Diciembre 2024
2023,Enero,1,Baja California,Secuestro,Secuestro exprés,No especificado,4,2023-01,Enero 2023
2023,Febrero,2,Baja California,Secuestro,Secuestro exprés,No especificado,5,2023-02,Febrero 2023
2023,Marzo,3,Baja California,Secuestro,Secuestro exprés,No especificado,3,2023-03,Marzo 2023
2023,Abril,4,Baja California,Secuestro,Secuestro exprés,No especificado,1,2023-04,Abril 2023
2023,Mayo,5,Baja California,Secuestro,Secuestro exprés,No especificado,5,2023-05,Mayo 2023
2023,Junio,6,Baja California,Secuestro,Secuestro exprés,No especificado,5,2023-06,Junio 2023
2023,Julio,7,Baja California,Secuestro,Secuestro exprés,No especificado,3,2023-07,Julio 2023
2023,Agosto,8,Baja California,Secuestro,Secuestro exprés,No especificado,7,2023-08,Agosto 2023
2023,Septiembre,9,Baja California,Secuestro,Secuestro exprés,No especificado,2,2023-09,Septiembre 2023
2023,Octubre,10,Baja California,Secuestro,Secuestro exprés,No especificado,2,2023-10,Octubre 2023
2023,Noviembre,11,Baja California,Secuestro,Secuestro exprés,No especificado,2,2023-11,Noviembre 2023
2023,Diciembre,12,Baja California,Secuestro,Secuestro exprés,No especificado,6,2023-12,Diciembre 2023
2024,Enero,1,Baja California,Secuestro,Secuestro exprés,No especificado,2,2024-01,Enero 2024
2024,Febrero,2,Baja California,Secuestro,Secuestro exprés,No especificado,7,2024-02,Febrero 2024
2024,Marzo,3,Baja California,Secuestro,Secuestro exprés,No especificado,7,2024-03,Marzo 2024
2024,Abril,4,Baja California,Secuestro,Secuestro exprés,No especificado,3,2024-04,Abril 2024
2024,Mayo,5,Baja California,Secuestro,Secuestro exprés,No especificado,2,2024-05,Mayo 2024
2024,Junio,6,Baja California,Secuestro,Secuestro exprés,No especificado,1,2024-06,Junio 2024
2024,Julio,7,Baja California,Secuestro,Secuestro exprés,No especificado,3,2024-07,Julio 2024
2024,Agosto,8,Baja California,Secuestro,Secuestro exprés,No especificado,5,2024-08,Agosto 2024
2024,Septiembre,9,Baja California,Secuestro,Secuestro exprés,No especificado,3,2024-09,Septiembre 2024
2024,Octubre,10,Baja California,Secuestro,Secuestro exprés,No especificado,1,2024-10,Octubre 2024
2024,Noviembre,11,Baja California,Secuestro,Secuestro exprés,No especificado,4,2024-11,Noviembre 2024
2024,Diciembre,12,Baja California,Secuestro,Secuestro exprés,No especificado,1,2024-12,Diciembre 2024
2023,Enero,1,Baja California,Secuestro,Secuestro exprés,Sin violencia,5,2023-01,Enero 2023
2023,Febrero,2,Baja California,Secuestro,Secuestro exprés,Sin violencia,1,2023-02,Febrero 2023
2023,Marzo,3,Baja California,Secuestro,Secuestro exprés,Sin violencia,6,2023-03,Marzo 2023
2023,Abril,4,Baja California,Secuestro,Secuestro exprés,Sin violencia,7,2023-04,Abril 2023
2023,Mayo,5,Baja California,Secuestro,Secuestro exprés,Sin violencia,2,2023-05,Mayo 2023
2023,Junio,6,Baja California,Secuestro,Secuestro exprés,Sin violencia,7,2023-06,Junio 2023
2023,Julio,7,Baja California,Secuestro,Secuestro exprés,Sin violencia,3,2023-07,Julio 2023
2023,Agosto,8,Baja California,Secuestro,Secuestro exprés,Sin violencia,6,2023-08,Agosto 2023
2023,Septiembre,9,Baja California,Secuestro,Secuestro exprés,Sin violencia,6,2023-09,Septiembre 2023
2023,Octubre,10,Baja California,Secuestro,Secuestro exprés,Sin violencia,2,2023-10,Octubre 2023
2023,Noviembre,11,Baja California,Secuestro,Secuestro exprés,Sin violencia,1,2023-11,Noviembre 2023
2023,Diciembre,12,Baja California,Secuestro,Secuestro exprés,Sin violencia,7,2023-12,Diciembre 2023
2024,Enero,1,Baja California,Secuestro,Secuestro exprés,Sin violencia,3,2024-01,Enero 2024
2024,Febrero,2,Baja California,Secuestro,Secuestro exprés,Sin violencia,1,2024-02,Febrero 2024
2024,Marzo,3,Baja California,Secuestro,Secuestro exprés,Sin violencia,5,2024-03,Marzo 2024
2024,Abril,4,Baja California,Secuestro,Secuestro exprés,Sin violencia,4,2024-04,Abril 2024
2024,Mayo,5,Baja California,Secuestro,Secuestro exprés,Sin violencia,5,2024-05,Mayo 2024
2024,Junio,6,Baja California,Secuestro,Secuestro exprés,Sin violencia,4,2024-06,Junio 2024
2024,Julio,7,Baja California,Secuestro,Secuestro exprés,Sin violencia,5,2024-07,Julio 2024
2024,Agosto,8,Baja California,Secuestro,Secuestro exprés,Sin violencia,6,2024-08,Agosto 2024
2024,Septiembre,9,Baja California,Secuestro,Secuestro exprés,Sin violencia,3,2024-09,Septiembre 2024
2024,Octubre,10,Baja California,Secuestro,Secuestro exprés,Sin violencia,4,2024-10,Octubre 2024
2024,Noviembre,11,Baja California,Secuestro,Secuestro exprés,Sin violencia,2,2024-11,Noviembre 2024
2024,Diciembre,12,Baja California,Secuestro,Secuestro exprés,Sin violencia,2,2024-12,Diciembre 2024
2023,Enero,1,Baja California,Robo,Robo a casa habitación,No especificado,112,2023-01,Enero 2023
2023,Febrero,2,Baja California,Robo,Robo a casa habitación,No especificado,141,2023-02,Febrero 2023
2023,Marzo,3,Baja California,Robo,Robo a casa habitación,No especificado,232,2023-03,Marzo 2023
2023,Abril,4,Baja California,Robo,Robo a casa habitación,No especificado,278,2023-04,Abril 2023
2023,Mayo,5,Baja California,Robo,Robo a casa habitación,No especificado,111,2023-05,Mayo 2023
2023,Junio,6,Baja California,Robo,Robo a casa habitación,No especificado,176,2023-06,Junio 2023
2023,Julio,7,Baja California,Robo,Robo a casa habitación,No especificado,189,2023-07,Julio 2023
2023,Agosto,8,Baja California,Robo,Robo a casa habitación,No especificado,107,2023-08,Agosto 2023
2023,Septiembre,9,Baja California,Robo,Robo a casa habitación,No especificado,50,2023-09,Septiembre 2023
2023,Octubre,10,Baja California,Robo,Robo a casa habitación,No especificado,145,2023-10,Octubre 2023
2023,Noviembre,11,Baja California,Robo,Robo a casa habitación,No especificado,167,2023-11,Noviembre 2023
2023,Diciembre,12,Baja California,Robo,Robo a casa habitación,No especificado,138,2023-12,Diciembre 2023
2024,Enero,1,Baja California,Robo,Robo a casa habitación,No especificado,178,2024-01,Enero 2024
2024,Febrero,2,Baja California,Robo,Robo a casa habitación,No especificado,238,2024-02,Febrero 2024
2024,Marzo,3,Baja California,Robo,Robo a casa habitación,No especificado,71,2024-03,Marzo 2024
2024,Abril,4,Baja California,Robo,Robo a casa habitación,No especificado,296,2024-04,Abril 2024
2024,Mayo,5,Baja California,Robo,Robo a casa habitación,No especificado,203,2024-05,Mayo 2024
2024,Junio,6,Baja California,Robo,Robo a casa habitación,No especificado,234,2024-06,Junio 2024
2024,Julio,7,Baja California,Robo,Robo a casa habitación,No especificado,255,2024-07,Julio 2024
2024,Agosto,8,Baja California,Robo,Robo a casa habitación,No especificado,96,2024-08,Agosto 2024
2024,Septiembre,9,Baja California,Robo,Robo a casa habitación,No especificado,287,2024-09,Septiembre 2024
2024,Octubre,10,Baja California,Robo,Robo a casa habitación,No especificado,88,2024-10,Octubre 2024
2024,Noviembre,11,Baja California,Robo,Robo a casa habitación,No especificado,82,2024-11,Noviembre 2024
2024,Diciembre,12,Baja California,Robo,Robo a casa habitación,No especificado,72,2024-12,Diciembre 2024
2023,Enero,1,Baja California,Robo,Robo a casa habitación,Con violencia,295,2023-01,Enero 2023
2023,Febrero,2,Baja California,Robo,Robo a casa habitación,Con violencia,149,2023-02,Febrero 2023
2023,Marzo,3,Baja California,Robo,Robo a casa habitación,Con violencia,229,2023-03,Marzo 2023
2023,Abril,4,Baja California,Robo,Robo a casa habitación,Con violencia,299,2023-04,Abril 2023
2023,Mayo,5,Baja California,Robo,Robo a casa habitación,Con violencia,50,2023-05,Mayo 2023
2023,Junio,6,Baja California,Robo,Robo a casa habitación,Con violencia,286,2023-06,Junio 2023
2023,Julio,7,Baja California,Robo,Robo a casa habitación,Con violencia,65,2023-07,Julio 2023
2023,Agosto,8,Baja California,Robo,Robo a casa habitación,Con violencia,129,2023-08,Agosto 2023
2023,Septiembre,9,Baja California,Robo,Robo a casa habitación,Con violencia,290,2023-09,Septiembre 2023
2023,Octubre,10,Baja California,Robo,Robo a casa habitación,Con violencia,209,2023-10,Octubre 2023
2023,Noviembre,11,Baja California,Robo,Robo a casa habitación,Con violencia,201,2023-11,Noviembre 2023
2023,Diciembre,12,Baja California,Robo,Robo a casa habitación,Con violencia,227,2023-12,Diciembre 2023
2024,Enero,1,Baja California,Robo,Robo a casa habitación,Con violencia,82,2024-01,Enero 2024
2024,Febrero,2,Baja California,Robo,Robo a casa habitación,Con violencia,61,2024-02,Febrero 2024
2024,Marzo,3,Baja California,Robo,Robo a casa habitación,Con violencia,114,2024-03,Marzo 2024
2024,Abril,4,Baja California,Robo,Robo a casa habitación,Con violencia,92,2024-04,Abril 2024
2024,Mayo,5,Baja California,Robo,Robo a casa habitación,Con violencia,78,2024-05,Mayo 2024
2024,Junio,6,Baja California,Robo,Robo a casa habitación,Con violencia,144,2024-06,Junio 2024
2024,Julio,7,Baja California,Robo,Robo a casa habitación,Con violencia,179,2024-07,Julio 2024
2024,Agosto,8,Baja California,Robo,Robo a casa habitación,Con violencia,264,2024-08,Agosto 2024
2024,Septiembre,9,Baja California,Robo,Robo a casa habitación,Con violencia,139,2024-09,Septiembre 2024
2024,Octubre,10,Baja California,Robo,Robo a casa habitación,Con violencia,142,2024-10,Octubre 2024
2024,Noviembre,11,Baja California,Robo,Robo a casa habitación,Con violencia,211,2024-11,Noviembre 2024
2024,Diciembre,12,Baja California,Robo,Robo a casa habitación,Con violencia,154,2024-12,Diciembre 2024
2023,Enero,1,Baja California,Robo,Robo de vehículo,Con violencia,294,2023-01,Enero 2023
2023,Febrero,2,Baja California,Robo,Robo de vehículo,Con violencia,286,2023-02,Febrero 2023
2023,Marzo,3,Baja California,Robo,Robo de vehículo,Con violencia,206,2023-03,Marzo 2023
2023,Abril,4,Baja California,Robo,Robo de vehículo,Con violencia,213,2023-04,Abril 2023
2023,Mayo,5,Baja California,Robo,Robo de vehículo,Con violencia,298,2023-05,Mayo 2023
2023,Junio,6,Baja California,Robo,Robo de vehículo,Con violencia,150,2023-06,Junio 2023
2023,Julio,7,Baja California,Robo,Robo de vehículo,Con violencia,289,2023-07,Julio 2023
2023,Agosto,8,Baja California,Robo,Robo de vehículo,Con violencia,259,2023-08,Agosto 2023
2023,Septiembre,9,Baja California,Robo,Robo de vehículo,Con violencia,201,2023-09,Septiembre 2023
2023,Octubre,10,Baja California,Robo,Robo de vehículo,Con violencia,61,2023-10,Octubre 2023
2023,Noviembre,11,Baja California,Robo,Robo de vehículo,Con violencia,232,2023-11,Noviembre 2023
2023,Diciembre,12,Baja California,Robo,Robo de vehículo,Con violencia,72,2023-12,Diciembre 2023
2024,Enero,1,Baja California,Robo,Robo de vehículo,Con violencia,154,2024-01,Enero 2024
2024,Febrero,2,Baja California,Robo,Robo de vehículo,Con violencia,66,2024-02,Febrero 2024
2024,Marzo,3,Baja California,Robo,Robo de vehículo,Con violencia,111,2024-03,Marzo 2024
2024,Abril,4,Baja California,Robo,Robo de vehículo,Con violencia,161,2024-04,Abril 2024
2024,Mayo,5,Baja California,Robo,Robo de vehículo,Con violencia,190,2024-05,Mayo 2024
2024,Junio,6,Baja California,Robo,Robo de vehículo,Con violencia,226,2024-06,Junio 2024
2024,Julio,7,Baja California,Robo,Robo de vehículo,Con violencia,189,2024-07,Julio 2024
2024,Agosto,8,Baja California,Robo,Robo de vehículo,Con violencia,58,2024-08,Agosto 2024
2024,Septiembre,9,Baja California,Robo,Robo de vehículo,Con violencia,255,2024-09,Septiembre 2024
2024,Octubre,10,Baja California,Robo,Robo de vehículo,Con violencia,101,2024-10,Octubre 2024
2024,Noviembre,11,Baja California,Robo,Robo de vehículo,Con violencia,299,2024-11,Noviembre 2024
2024,Diciembre,12,Baja California,Robo,Robo de vehículo,Con violencia,193,2024-12,Diciembre 2024
2023,Enero,1,Baja California,Robo,Robo de vehículo,Sin violencia,118,2023-01,Enero 2023
